PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Ante Natal Care Services ANC,dummy,Part A,Part A-dummy-Ante Natal Care Services ANC,PHC,,,,,,,,,,,,
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Ante Natal Care Services ANC,dummy,M1,M1-dummy-Ante Natal Care Services ANC,PHC,,,,,,,,,,,,
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Total number of pregnant women Registered for ANC  ,TOTAL,1.1,1.1-TOTAL-Total number of pregnant women Registered for ANC,PHC,41.0,29.0,32.0,26.0,36.0,32.0,41.0,32.0,31.0,30.0,31.0,37.0
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Of which Number registered within first trimester,TOTAL,1.1.1,1.1.1-TOTAL-Of which Number registered within first trimester,PHC,35.0,27.0,26.0,22.0,29.0,32.0,37.0,31.0,28.0,28.0,30.0,30.0
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,New women registered under JSY,TOTAL,1.2,1.2-TOTAL-New women registered under JSY,PHC,21.0,18.0,16.0,15.0,19.0,21.0,22.0,17.0,15.0,18.0,19.0,20.0
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of pregnant women received 3 ANC check ups,TOTAL,1.3,1.3-TOTAL-Number of pregnant women received 3 ANC check ups,PHC,32.0,29.0,36.0,30.0,38.0,32.0,23.0,30.0,42.0,28.0,25.0,30.0
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of pregnant women given,dummy,1.4,1.4-dummy-Number of pregnant women given,PHC,,,,,,,,,,,,
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,TT1,TOTAL,1.4.1,1.4.1-TOTAL-TT1,PHC,26.0,24.0,19.0,16.0,26.0,21.0,28.0,23.0,22.0,19.0,28.0,23.0
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,TT2 or Booster,TOTAL,1.4.2,1.4.2-TOTAL-TT2 or Booster,PHC,32.0,38.0,31.0,24.0,26.0,28.0,31.0,24.0,30.0,27.0,27.0,32.0
PHC Jalalkheda,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Total number of pregnant women given 100 IFA tablets,TOTAL,1.5,1.5-TOTAL-Total number of pregnant women given 100 IFA tablets,PHC,10.0,7.0,12.0,8.0,12.0,9.0,6.0,8.0,7.0,5.0,12.0,11.0
